Gene	GeneID	Gene_type	DORGE-TSG_score	Drug_Name	Cell_Line	Time	Dose	p-value	q-value	Fold_Change	Specificity
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	PC3	6h	0.1μM	0.0	0.0	0.998269	2.787068004459309E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	MCF7	6h	0.1μM	0.0	0.0	1.29022	2.373605506764776E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	MCF7	6h	1.0μM	1.2439E-39	9.67209E-38	0.974732	2.809778027535825E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	LY-294002	MCF7	6h	10.0μM	6.48125E-19	1.8622E-17	0.541587	3.629764065335753E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	PC3	6h	1.0μM	4.44323E-17	7.39013E-16	0.704799	2.996703626011388E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	HL60	6h	0.1μM	8.25551E-16	8.88468E-15	0.53482	4.476275738585497E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	sirolimus	MCF7	6h	0.1μM	6.65267E-12	2.13865E-10	0.392722	4.199916001679967E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trichostatinA	HL60	6h	1.0μM	7.81228E-12	2.17915E-10	1.40196	4.340277777777778E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	wortmannin	MCF7	6h	0.01μM	2.7021E-8	1.14733E-6	0.386955	7.390983000739098E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	trifluoperazine	MCF7	6h	10.0μM	7.75215E-8	4.17242E-6	0.404748	5.824111822947001E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	LY-294002	PC3	6h	10.0μM	2.0606E-6	3.82056E-5	0.57316	4.699248120300752E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	sirolimus	PC3	6h	0.1μM	8.28214E-6	3.87361E-4	0.576454	6.915629322268327E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	prochlorperazine	MCF7	6h	10.0μM	8.96144E-4	0.0095946	0.233161	8.103727714748784E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	acacetin	MCF7	6h	14.0μM	0.00101425	0.0467343	0.3909	0.00425531914893617
COPS3	8533	Novel DORGE-TSG	0.650450559311867	tretinoin	MCF7	6h	1.0μM	0.00103083	0.00860736	0.197249	7.462686567164179E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	valproicacid	MCF7	6h	1000.0μM	0.00139366	0.0255354	0.218557	0.002267573696145125
COPS3	8533	Novel DORGE-TSG	0.650450559311867	valproicacid	HL60	6h	500.0μM	0.00156546	0.0140014	0.397094	6.596306068601583E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	valproicacid	HL60	6h	200.0μM	0.00301991	0.0494352	0.380823	0.002352941176470588
COPS3	8533	Novel DORGE-TSG	0.650450559311867	clozapine	MCF7	6h	12.2μM	0.00365735	0.395147	0.383709	0.0
COPS3	8533	Novel DORGE-TSG	0.650450559311867	thioridazine	MCF7	6h	10.0μM	0.00368427	0.0166774	0.168067	4.428697962798937E-4
COPS3	8533	Novel DORGE-TSG	0.650450559311867	genistein	HL60	6h	10.0μM	0.00492118	0.0613471	0.350362	0.001808318264014466
COPS3	8533	Novel DORGE-TSG	0.650450559311867	valproicacid	PC3	6h	1000.0μM	0.0076257	0.163047	0.358514	0.01818181818181818
COPS3	8533	Novel DORGE-TSG	0.650450559311867	valproicacid	MCF7	6h	500.0μM	0.00877563	0.0832133	0.179163	0.001785714285714286
COPS3	8533	Novel DORGE-TSG	0.650450559311867	fluphenazine	MCF7	6h	10.0μM	0.00946192	0.060059	0.17865	7.541478129713424E-4
ARL8B	55207	Novel DORGE-TSG	0.765711984676277	tretinoin	MCF7	6h	1.0μM	5.54564E-6	8.65663E-5	0.271677	7.462686567164179E-4
ARL8B	55207	Novel DORGE-TSG	0.765711984676277	methotrexate	MCF7	6h	8.8μM	3.88207E-5	8.29841E-4	0.598538	8.143322475570033E-4
ARL8B	55207	Novel DORGE-TSG	0.765711984676277	tretinoin	HL60	6h	1.0μM	0.00285588	0.0200961	0.381161	9.216589861751152E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	tanespimycin	MCF7	6h	1.0μM	1.65425E-10	1.02851E-9	0.301193	2.959455460195324E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	geldanamycin	MCF7	6h	1.0μM	6.24592E-6	4.26017E-5	0.35214	3.961965134706815E-4
